model;rok;cena;cena_srednia;cena_procent;przebieg;przebieg_sredni;przebieg_procent;link
Ford Focus;2023;24.866666666666667;26.44;-6.0;10;25.49;-60.8;otomoto.pl/osobowe/oferta/ford-focus-ford-focus-1-0-ecoboost-hybrid-125km-m6-titanium-x-5d-ID6FYHWt.html
Ford Focus;2015;7.311111111111111;7.79;-6.1;124;143.21;-13.4;otomoto.pl/osobowe/oferta/ford-focus-klima-grzane-fotele-czujniki-cofania-ID6GzFru.html
Ford Focus;2015;7.311111111111111;7.79;-6.1;99;143.21;-30.9;otomoto.pl/osobowe/oferta/ford-focus-podgrz-kier-fotele-pdc-multifunkcja-benzynka-manual-lift-ID6GBaiD.html
Ford Focus;2018;11.333333333333334;12.1;-6.3;77;99.21;-22.4;otomoto.pl/osobowe/oferta/ford-focus-ford-focus-mk3-1-6-benzyna-ID6GvYYS.html
Ford Focus;2012;5.444444444444445;5.81;-6.3;95;155.28;-38.8;otomoto.pl/osobowe/oferta/ford-focus-ford-focus-mk3-2012-r-z-polskiego-salonu-ID6GABp7.html
Ford Focus;2022;21.311111111111114;22.83;-6.7;9;16.61;-45.8;otomoto.pl/osobowe/oferta/ford-focus-titanium-x-2022r-1-0-ecoboost-155km-ID6GAaXG.html
Ford Focus;2023;24.644444444444446;26.44;-6.8;11;25.49;-56.8;otomoto.pl/osobowe/oferta/ford-focus-st-line-x-2023r-1-0-ecoboost-125km-ID6GAk9C.html
Ford Focus;2023;24.644444444444446;26.44;-6.8;10;25.49;-60.8;otomoto.pl/osobowe/oferta/ford-focus-1-0-ecoboost-hybrid-125km-titanium-x-kombi-samochod-od-reki-ID6FCYjC.html
Ford Focus;2023;24.644444444444446;26.44;-6.8;10;25.49;-60.8;otomoto.pl/osobowe/oferta/ford-focus-1-0-ecoboost-125km-titanium-x-hatchback-m6-fwd-produkcja-2023-ID6GCvdF.html
Ford Focus;2023;24.6;26.44;-7.0;10;25.49;-60.8;otomoto.pl/osobowe/oferta/ford-focus-1-0-ecoboost-125km-manual-m6-titanium-5w-ID6Glnp6.html
Ford Focus;2020;14.433333333333334;15.53;-7.1;59;83.27;-29.1;otomoto.pl/osobowe/oferta/ford-focus-zarejestrowany-klima-navi-ladny-ID6GBEs6.html
Ford Focus;2014;5.666666666666667;6.11;-7.3;139;162.91;-14.7;otomoto.pl/osobowe/oferta/ford-focus-polski-salon-bardzo-ladny-sam-parkuje-polecam-ID6GAvKo.html
Ford Focus;2014;5.666666666666667;6.11;-7.3;139;162.91;-14.7;otomoto.pl/osobowe/oferta/ford-focus-polski-salon-bardzo-ladny-sam-parkuje-polecam-ID6GAvKo.html
Ford Focus;2014;5.666666666666667;6.11;-7.3;122;162.91;-25.1;otomoto.pl/osobowe/oferta/ford-focus-bezwypadkowy-zarejestrowany-potwierdzony-przebieg-ID6GzdMC.html
Ford Focus;2004;1.3333333333333333;1.44;-7.4;106;189.36;-44.0;otomoto.pl/osobowe/oferta/ford-focus-kombi-1-6-fx-silver-2004-ID6GDMZ4.html
Ford Focus;2023;24.422222222222224;26.44;-7.6;12;25.49;-52.9;otomoto.pl/osobowe/oferta/ford-focus-active-x-1-0-ecoboost-hybrid-155km-m6-ID6GAzLV.html
Ford Focus;2023;24.422222222222224;26.44;-7.6;12;25.49;-52.9;otomoto.pl/osobowe/oferta/ford-focus-active-x-1-0-ecoboost-hybrid-155km-m6-ID6GAzLV.html
Ford Focus;2023;24.422222222222224;26.44;-7.6;10;25.49;-60.8;otomoto.pl/osobowe/oferta/ford-focus-ford-focus-1-0-ecoboost-125km-titanium-wagon-kombi-ID6Fnrxs.html
Ford Focus;2023;24.422222222222224;26.44;-7.6;10;25.49;-60.8;otomoto.pl/osobowe/oferta/ford-focus-ford-focus-1-0-ecoboost-hybrid-125km-m6-titanium-x-5d-ID6FYI25.html
Ford Focus;2016;9.777777777777779;10.59;-7.7;45;136.29;-67.0;otomoto.pl/osobowe/oferta/ford-focus-niski-przebieg-m-in-podgrzewana-przednia-szyba-i-przednie-siedzenia-ID6G44XW.html
Ford Focus;2007;2.2;2.39;-7.9;183;214.27;-14.6;otomoto.pl/osobowe/oferta/ford-focus-sprzedam-ford-focus-benzyna-zadbany-ID6GCZ8P.html
Ford Focus;2017;11.533333333333333;12.57;-8.2;69;113.52;-39.2;otomoto.pl/osobowe/oferta/ford-focus-1-5-benzyna-150km-polski-salon-bogata-wersja-ID6Gwued.html
Ford Focus;2018;11.088888888888889;12.1;-8.4;64;99.21;-35.5;otomoto.pl/osobowe/oferta/ford-focus-ecoboost-125-km-salon-pl-1-wlasciciel-ID6G7QGG.html
Ford Focus;2023;24.22222222222222;26.44;-8.4;1;25.49;-96.1;otomoto.pl/osobowe/oferta/ford-focus-titanium-x-2023r-1-0-ecoboost-ID6GDOIl.html
Ford Focus;2023;24.200000000000003;26.44;-8.5;10;25.49;-60.8;otomoto.pl/osobowe/oferta/ford-focus-1-0-ecoboost-125km-titanium-x-kombi-m6-fwd-produkcja-2023-ID6G79Da.html
Ford Focus;2020;14.2;15.53;-8.6;68;83.27;-18.3;otomoto.pl/osobowe/oferta/ford-focus-1-0-benzyna-125kmsalon-polska1-wlascicielbezwypadkowyf-vat-23-ID6Gz3IG.html
Ford Focus;2008;3.111111111111111;3.41;-8.8;177;200.79;-11.8;otomoto.pl/osobowe/oferta/ford-focus-ford-focus-gold-x-automatyczna-klimatyzacja-nowy-akumulator-ID6GD2i5.html
Ford Focus;2020;14.11111111111111;15.53;-9.1;67;83.27;-19.5;otomoto.pl/osobowe/oferta/ford-focus-focus-st-line-benzyna-salon-polska-super-stan-maly-przebieg-ID6GodTe.html
Ford Focus;2023;23.999777777777776;26.44;-9.2;1;25.49;-96.1;otomoto.pl/osobowe/oferta/ford-focus-focus-mk4-fl-titanium-kombi-125-km-wyprzedaz-2023-ID6G6zNe.html
Ford Focus;2019;13.088888888888889;14.43;-9.3;80;100.59;-20.5;otomoto.pl/osobowe/oferta/ford-focus-1-0b-125km-lift-ledy-naviklimakamerakeyletsgoczujniki-titanium-ID6GB11f.html
Ford Focus;2014;5.533333333333333;6.11;-9.4;154;162.91;-5.5;otomoto.pl/osobowe/oferta/ford-focus-1-0-klima-alu-el-szyby-aux-isofix-stan-bdb-bezwypadkowy-dlugie-oplaty-ID6GD3ER.html
Ford Focus;2014;5.533333333333333;6.11;-9.4;148;162.91;-9.2;otomoto.pl/osobowe/oferta/ford-focus-1-0-klimatyzacja-bez-wypadkowy-serwisowany-z-niemiec-zadbany-ID6GDmlR.html
Ford Focus;2014;5.533333333333333;6.11;-9.4;94;162.91;-42.3;otomoto.pl/osobowe/oferta/ford-focus-100-niemcy-elektryka-klima-hak-alu-org-male-kilometry-ID6GBFn3.html
Ford Focus;2013;5.533333333333333;6.15;-10.0;139;151.96;-8.5;otomoto.pl/osobowe/oferta/ford-focus-klimatronik-serwis-aso-bezwypadkowy-i-wlasciciel-ID6GCRns.html
Ford Focus;2013;5.533333333333333;6.15;-10.0;139;151.96;-8.5;otomoto.pl/osobowe/oferta/ford-focus-klimatronik-serwis-aso-bezwypadkowy-i-wlasciciel-ID6GCRns.html
Ford Focus;2009;3.3111111111111113;3.68;-10.0;170;188.89;-10.0;otomoto.pl/osobowe/oferta/ford-focus-sprowadzony-i-zarejestrowany-100km-klima-elektryka-opona-lato-ID6GBsrC.html
Ford Focus;2013;5.533333333333333;6.15;-10.0;124;151.96;-18.4;otomoto.pl/osobowe/oferta/ford-focus-z-niemiec-2013r-oplacony-serwis-124tys-km-sprawdz-ID6GA4ip.html
Ford Focus;2013;5.533333333333333;6.15;-10.0;113;151.96;-25.6;otomoto.pl/osobowe/oferta/ford-focus-1-0-100-km-benzyna-2013-oplacony-z-niemiec-super-stan-113-tys-ecoboost-ID6GDcMP.html
Ford Focus;2015;7.0;7.79;-10.1;128;143.21;-10.6;otomoto.pl/osobowe/oferta/ford-focus-lift-1-0-benzyna-po-wym-rozrzadu-bezwypadkowy-zarejestrowany-serwis-ID6Gs7cL.html
Ford Focus;2015;7.0;7.79;-10.1;118;143.21;-17.6;otomoto.pl/osobowe/oferta/ford-focus-mk3-lift-2015r-1-0t-100km-118000km-grzane-fotele-climatronic-alu-ID6Goa2o.html
Ford Focus;2018;10.866666666666667;12.1;-10.2;94;99.21;-5.3;otomoto.pl/osobowe/oferta/ford-focus-1-6-105km-trend-gold-2018r-tempomat-alufelgi-gwarancja-przebie-ID6GzLbW.html
Ford Focus;2023;23.555333333333333;26.44;-10.9;8;25.49;-68.6;otomoto.pl/osobowe/oferta/ford-focus-focus-titanium-hb-mk-iv-fl-wyprzedaz-2023-ID6G8YXY.html
Ford Focus;2006;2.222;2.5;-11.1;175;205.94;-15.0;otomoto.pl/osobowe/oferta/ford-focus-ID6FKnzB.html
Ford Focus;2013;5.466666666666667;6.15;-11.1;97;151.96;-36.2;otomoto.pl/osobowe/oferta/ford-focus-ford-focus-1-0-ecoboost-2013-ID6GzcAx.html
Ford Focus;2021;17.311111111111114;19.48;-11.1;23;46.89;-50.9;otomoto.pl/osobowe/oferta/ford-focus-1-0-ecoboost-125km-connected-salon-polska-aso-ford-ID6GBIHs.html
Ford Focus;2023;23.444444444444443;26.44;-11.3;10;25.49;-60.8;otomoto.pl/osobowe/oferta/ford-focus-dostepny-od-reki-kombi-titanium-125-km-kamera-cofania-p-winter-ID6FmXVx.html
Ford Focus;2017;11.088888888888889;12.57;-11.8;78;113.52;-31.3;otomoto.pl/osobowe/oferta/ford-focus-1-5-ecoboost-trend-ass-ID6Gkyhi.html
Ford Focus;2023;23.311111111111114;26.44;-11.8;10;25.49;-60.8;otomoto.pl/osobowe/oferta/ford-focus-focus-titanium-ecoboost-hybrid-125km-a7-2023-od-reki-ID6FD7B0.html
Ford Focus;2023;23.311111111111114;26.44;-11.8;1;25.49;-96.1;otomoto.pl/osobowe/oferta/ford-focus-ford-focus-automat-wyprzedaz-ID6FxSjm.html
Ford Focus;2015;6.866666666666666;7.79;-11.9;117;143.21;-18.3;otomoto.pl/osobowe/oferta/ford-focus-ford-focus-1-0-125-km-ecoboost-sync-edition-ID6GuPU4.html
Ford Focus;2012;5.088888888888889;5.81;-12.4;138;155.28;-11.1;otomoto.pl/osobowe/oferta/ford-focus-1-0-benzyna-ID6GB8VN.html
Ford Focus;2012;5.088888888888889;5.81;-12.4;110;155.28;-29.2;otomoto.pl/osobowe/oferta/ford-focus-po-oplatach-celno-skarbowych-ID6GA4vA.html
Ford Focus;2006;2.177777777777778;2.5;-12.9;180;205.94;-12.6;otomoto.pl/osobowe/oferta/ford-focus-klimatyzacja-serwis-po-oplatach-ID6GvkxG.html
Ford Focus;2009;3.2;3.68;-13.0;142;188.89;-24.8;otomoto.pl/osobowe/oferta/ford-focus-142-tys-km-ID6GtCwg.html
Ford Focus;2011;4.777777777777778;5.49;-13.0;121;183.97;-34.2;otomoto.pl/osobowe/oferta/ford-focus-1-6-16v105kmambienteniemcyklimaorg-przebiegalusuper-stanzobacz-ID6GDIVb.html
Ford Focus;2011;4.7555555555555555;5.49;-13.4;169;183.97;-8.1;otomoto.pl/osobowe/oferta/ford-focus-elektryka-klima-multifunkcja-zadbany-gwarancja-serwis-ID6Fiti2.html
Ford Focus;2010;4.8886666666666665;5.67;-13.8;153;201.23;-24.0;otomoto.pl/osobowe/oferta/ford-focus-1-6-pb-klimatyzacja-centralny-zamek-hak-el-lusterka-grzana-szyba-ID6GAgOq.html
Ford Focus;2019;12.444444444444445;14.43;-13.8;33;100.59;-67.2;otomoto.pl/osobowe/oferta/ford-focus-1-0-ecoboost-salon-polska-serwis-aso-klima-tempomat-parktronic-ID6GCWZd.html
Ford Focus;2016;9.110888888888889;10.59;-14.0;81;136.29;-40.6;otomoto.pl/osobowe/oferta/ford-focus-ford-focus-mk3-1-6-benzyna-niski-przebieg-applecar-androidauto-ID6GCCYW.html
Ford Focus;2020;13.31111111111111;15.53;-14.3;23;83.27;-72.4;otomoto.pl/osobowe/oferta/ford-focus-1-0-ecoboost-100km-salon-pl-serwis-aso-gwarancja-1wlasciciel-ID6GBhFU.html
Ford Focus;2015;6.666444444444444;7.79;-14.4;120;143.21;-16.2;otomoto.pl/osobowe/oferta/ford-focus-1-0-125km-alu-klima-led-navi-z-niemiec-ID6GAqqp.html
Ford Focus;2007;2.0444444444444443;2.39;-14.5;203;214.27;-5.3;otomoto.pl/osobowe/oferta/ford-focus-ford-focus-mk2-kombi-1-6-benzyna-z-2007-roku-sprzedam-ID6GAQRJ.html
Ford Focus;2022;19.51111111111111;22.83;-14.5;15;16.61;-9.7;otomoto.pl/osobowe/oferta/ford-focus-titanium-2022r-1-0-ecoboost-125km-m6-demo-ID6GCfIF.html
Ford Focus;2005;1.8888888888888888;2.22;-14.9;160;219.41;-27.1;otomoto.pl/osobowe/oferta/ford-focus-ID6GwFyI.html
Ford Focus;2015;6.622222222222223;7.79;-15.0;124;143.21;-13.4;otomoto.pl/osobowe/oferta/ford-focus-focus-mk3-stan-bdb-zarejestrowany-w-pl-ID6G6ns1.html
Ford Focus;2015;6.6;7.79;-15.3;132;143.21;-7.8;otomoto.pl/osobowe/oferta/ford-focus-1-0-benzyna-125km-nawigacja-klima-tempomat-pdc-z-niemiec-ID6GB9hZ.html
Ford Focus;2019;12.2;14.43;-15.5;63;100.59;-37.4;otomoto.pl/osobowe/oferta/ford-focus-ford-focus-kombi-trend-edition-salon-pl-serwis-aso-ID6GA1kc.html
Ford Focus;2006;2.111111111111111;2.5;-15.6;186;205.94;-9.7;otomoto.pl/osobowe/oferta/ford-focus-ford-focus-mk2-2-0-benzyna-ID6GtwaE.html
Ford Focus;2023;22.200000000000003;26.44;-16.0;1;25.49;-96.1;otomoto.pl/osobowe/oferta/ford-focus-1-0-ecoboost-125km-m6-kombi-titanium-x-fordstore-gdynia-ID6FGcwl.html
Ford Focus;2016;8.88888888888889;10.59;-16.1;125;136.29;-8.3;otomoto.pl/osobowe/oferta/ford-focus-ford-focus-mk3-fl-stan-bardzo-dobry-ID6GBrHF.html
Ford Focus;2023;22.177777777777777;26.44;-16.1;7;25.49;-72.5;otomoto.pl/osobowe/oferta/ford-focus-titanium-kombi-125km-m6-titanium-najnizsza-cena-ID6FDYLg.html
Ford Focus;2016;8.866666666666667;10.59;-16.3;125;136.29;-8.3;otomoto.pl/osobowe/oferta/ford-focus-ford-focus-1-0-ecoboost-nawigacja-kamera-ID6GDhGc.html
Ford Focus;2022;19.08888888888889;22.83;-16.4;8;16.61;-51.8;otomoto.pl/osobowe/oferta/ford-focus-titanium-2022r-1-0-ecoboost-125km-2-komplety-kol-ID6GDOGl.html
Ford Focus;2014;5.088888888888889;6.11;-16.7;76;162.91;-53.3;otomoto.pl/osobowe/oferta/ford-focus-maly-przebieg-zarejestrowany-bezwypadkowy-ID6Gz4EI.html
Ford Focus;2023;21.977777777777778;26.44;-16.9;6;25.49;-76.5;otomoto.pl/osobowe/oferta/ford-focus-1-0-ecoboost-155km-active-x-demo-dealera-ID6GuBII.html
Ford Focus;2014;5.044444444444444;6.11;-17.4;139;162.91;-14.7;otomoto.pl/osobowe/oferta/ford-focus-ford-focus-eco-boost-business-edition-ID6GAANo.html
Ford Focus;2014;5.0;6.11;-18.2;102;162.91;-37.4;otomoto.pl/osobowe/oferta/ford-focus-oryginalny-przebieg-tuv-03-2024r-ID6FKo1k.html
Ford Focus;2011;4.422222222222222;5.49;-19.4;124;183.97;-32.6;otomoto.pl/osobowe/oferta/ford-focus-gwarancja-techniczna-ID6GjJ2w.html
Ford Focus;2018;9.68888888888889;12.1;-19.9;89;99.21;-10.3;otomoto.pl/osobowe/oferta/ford-focus-2018-tylko-89-tys-km-idealny-krajowy-ID6FG4X8.html
Ford Focus;2016;8.444444444444445;10.59;-20.3;79;136.29;-42.0;otomoto.pl/osobowe/oferta/ford-focus-stan-idealny-niski-przebieg-ID6Gqgyr.html
Ford Focus;2016;8.422222222222222;10.59;-20.5;87;136.29;-36.2;otomoto.pl/osobowe/oferta/ford-focus-kolor-przebieg-navi-parkassist-titanium-full-totalnie-jak-nowy-piekny-ID6GC7NO.html
Ford Focus;2016;8.422222222222222;10.59;-20.5;79;136.29;-42.0;otomoto.pl/osobowe/oferta/ford-focus-1-5-150-km-grzane-szyby-i-fotele-tempomat-klimatronik-79tyskm-ID6GzyOK.html
Ford Focus;2017;9.977777777777778;12.57;-20.6;87;113.52;-23.4;otomoto.pl/osobowe/oferta/ford-focus-i-szy-wlbogata-wersja-slinemaly-przebieg-serwis2017r-ID6GAToG.html
Ford Focus;2007;1.8888888888888888;2.39;-21.0;201;214.27;-6.2;otomoto.pl/osobowe/oferta/ford-focus-ford-focus-mk2-salon-polska-od-nowosci-ID6GkmDo.html
Ford Focus;2015;6.155555555555555;7.79;-21.0;129;143.21;-9.9;otomoto.pl/osobowe/oferta/ford-focus-zarejestrowany-benzyna-ID6GA9dR.html
Ford Focus;2007;1.8888888888888888;2.39;-21.0;188;214.27;-12.3;otomoto.pl/osobowe/oferta/ford-focus-polecam-ID6GDruC.html
Ford Focus;2008;2.6666666666666665;3.41;-21.8;181;200.79;-9.9;otomoto.pl/osobowe/oferta/ford-focus-ford-focus-mk2-2008-rok-1-6-115km-ID6GCX2f.html
Ford Focus;2010;4.422222222222222;5.67;-22.0;170;201.23;-15.5;otomoto.pl/osobowe/oferta/ford-focus-2-0l-duratec-145km-klimatyzacja-salon-pl-serwis-aso-ID6GD8gQ.html
Ford Focus;2009;2.8666666666666667;3.68;-22.1;174;188.89;-7.9;otomoto.pl/osobowe/oferta/ford-focus-gwarancja-techniczna-ID6GrAOf.html
Ford Focus;2016;8.222222222222221;10.59;-22.4;98;136.29;-28.1;otomoto.pl/osobowe/oferta/ford-focus-sprzedam-ford-focus-2016-pierwszy-wlasciciel-polski-salon-fv-23-ID6GwWzw.html
Ford Focus;2017;9.755555555555555;12.57;-22.4;72;113.52;-36.6;otomoto.pl/osobowe/oferta/ford-focus-1-0-125km-72-tys-km-serwisowany-bezwypadkowy-faktura-vat-23-ID6FAAnd.html
Ford Focus;2016;8.2;10.59;-22.6;117;136.29;-14.2;otomoto.pl/osobowe/oferta/ford-focus-1-0ikat-125km-salon-polska-i-wlasciciel-ID6Gznga.html
Ford Focus;2004;1.1108888888888888;1.44;-22.9;171;189.36;-9.7;otomoto.pl/osobowe/oferta/ford-focus-1-6-100km-zadbany-garazowany-polski-salon-ID6GB5BB.html
Ford Focus;2019;11.088888888888889;14.43;-23.2;91;100.59;-9.5;otomoto.pl/osobowe/oferta/ford-focus-ford-focus-1-0-125km-ID6G36Hc.html
Ford Focus;2019;11.088888888888889;14.43;-23.2;34;100.59;-66.2;otomoto.pl/osobowe/oferta/ford-focus-1-0-ecoboost-ladny-zadbany-led-kamera-stan-bdb-ID6Ge0bV.html
Ford Focus;2016;8.11111111111111;10.59;-23.4;113;136.29;-17.1;otomoto.pl/osobowe/oferta/ford-focus-okazja-ford-focus-salon-pl-ID6GviNf.html
Ford Focus;2016;8.11111111111111;10.59;-23.4;109;136.29;-20.0;otomoto.pl/osobowe/oferta/ford-focus-ford-focus-1-0-ecoboost-125-km-2016r-salon-polska-ID6GkRH3.html
Ford Focus;2017;9.622222222222222;12.57;-23.5;93;113.52;-18.1;otomoto.pl/osobowe/oferta/ford-focus-ford-focus-1-0-ecoboost-125km-sync3-ID6GzV5C.html
Ford Focus;2010;4.333111111111111;5.67;-23.6;168;201.23;-16.5;otomoto.pl/osobowe/oferta/ford-focus-okazja-perelka-od-pierwszego-wlasciciela-ID6GuQMS.html
Ford Focus;2004;1.1;1.44;-23.6;158;189.36;-16.6;otomoto.pl/osobowe/oferta/ford-focus-ford-focus-mk1-krajowy-auto-godne-polecenia-ID6GdKPk.html
Ford Focus;2014;4.644444444444444;6.11;-24.0;120;162.91;-26.3;otomoto.pl/osobowe/oferta/ford-focus-1-0-klimatronic-tylko-120tyskm-okazja-ID6GzHqX.html
Ford Focus;2006;1.8888888888888888;2.5;-24.4;180;205.94;-12.6;otomoto.pl/osobowe/oferta/ford-focus-1-6-benzyna-2006-r-ID6GDpHF.html
Ford Focus;2023;19.977777777777778;26.44;-24.4;22;25.49;-13.7;otomoto.pl/osobowe/oferta/ford-focus-1-0-ecoboost-titanium-125km-salon-pl-aso-fv23-ID6GhVc7.html
Ford Focus;2023;19.977777777777778;26.44;-24.4;22;25.49;-13.7;otomoto.pl/osobowe/oferta/ford-focus-1-0-ecoboost-titanium-125km-salon-pl-aso-fv23-ID6GhVc7.html
Ford Focus;2005;1.6666666666666667;2.22;-24.9;170;219.41;-22.5;otomoto.pl/osobowe/oferta/ford-focus-ford-focus-2-1-4-benzyna-80-km-3d-ID6Gpa42.html
Ford Focus;2017;9.31111111111111;12.57;-25.9;71;113.52;-37.5;otomoto.pl/osobowe/oferta/ford-focus-1-0-ecoboost-125km-trend-salon-polska-aso-ford-vat-23-ID6GhhUy.html
Ford Focus;2015;5.7555555555555555;7.79;-26.1;123;143.21;-14.1;otomoto.pl/osobowe/oferta/ford-focus-ford-focus-ID6G3yNt.html
Ford Focus;2019;10.666666666666666;14.43;-26.1;66;100.59;-34.4;otomoto.pl/osobowe/oferta/ford-focus-1-0-ecoboost-salon-polska-vat-23-klima-tempomat-parktronic-ID6GCRTg.html
Ford Focus;2008;2.5;3.41;-26.7;172;200.79;-14.3;otomoto.pl/osobowe/oferta/ford-focus-sliczny-klima-2008-2009-elektryka-oplacony-plock-ID6GB3e9.html
Ford Focus;2018;8.866666666666667;12.1;-26.7;85;99.21;-14.3;otomoto.pl/osobowe/oferta/ford-focus-polski-salon-oryginal-1-6-benzyna-ID6Gvr8K.html
Ford Focus;2016;7.7555555555555555;10.59;-26.8;127;136.29;-6.8;otomoto.pl/osobowe/oferta/ford-focus-1-0-ecoboost-125ps-navi-alu-nowy-rozrzad-sliczny-gwarancja-ID6GvfCC.html
Ford Focus;2019;10.444444444444445;14.43;-27.6;70;100.59;-30.4;otomoto.pl/osobowe/oferta/ford-focus-1-0-ecoboost-salon-polska-vat-23-klima-tempomat-parktronic-ID6GCVuO.html
Ford Focus;2017;9.088666666666667;12.57;-27.7;86;113.52;-24.2;otomoto.pl/osobowe/oferta/ford-focus-1-6mk3-liftklima86tys-kmidealny-gwar-przebiegu-ID6GCS7t.html
Ford Focus;2023;19.077777777777776;26.44;-27.8;4;25.49;-84.3;otomoto.pl/osobowe/oferta/ford-focus-wj8585l-1-0-ecoboost-titanium-cz-cof-tryby-jazdy-navi-salon-pl-vat23-ID6Gns23.html
Ford Focus;2012;4.177777777777778;5.81;-28.1;134;155.28;-13.7;otomoto.pl/osobowe/oferta/ford-focus-ford-focus-ID6GvxEs.html
Ford Focus;2018;8.555555555555555;12.1;-29.3;61;99.21;-38.5;otomoto.pl/osobowe/oferta/ford-focus-ford-focus-1-0-ecoboost-61-tys-km-sprowadzony-ID6GwSkq.html
Ford Focus;2017;8.866666666666667;12.57;-29.5;98;113.52;-13.7;otomoto.pl/osobowe/oferta/ford-focus-1-0-ecoboost-125km-automat-idealny-stan-serwis-aso-ID6GvnDE.html
Ford Focus;2017;8.866666666666667;12.57;-29.5;84;113.52;-26.0;otomoto.pl/osobowe/oferta/ford-focus-automat-serwis-aso-ford-zadbany-ID6GbxPQ.html
Ford Focus;2017;8.866666666666667;12.57;-29.5;66;113.52;-41.9;otomoto.pl/osobowe/oferta/ford-focus-stan-idealny-66-tys-km-1-6-benzyna-ID6GAi8W.html
Ford Focus;2010;3.9997777777777777;5.67;-29.5;105;201.23;-47.8;otomoto.pl/osobowe/oferta/ford-focus-2-0-benzyna-maly-przebieg-ID6GB9Vc.html
Ford Focus;2010;3.9777777777777774;5.67;-29.8;151;201.23;-25.0;otomoto.pl/osobowe/oferta/ford-focus-jedna-reka-od-nowoscituv-do-08-20252-komplety-kol-ID6GvVgE.html
Ford Focus;2010;3.9555555555555557;5.67;-30.2;182;201.23;-9.6;otomoto.pl/osobowe/oferta/ford-focus-ford-focus-1-6-benz-ID6GDM6n.html
Ford Focus;2017;8.777777777777779;12.57;-30.2;53;113.52;-53.3;otomoto.pl/osobowe/oferta/ford-focus-tylko-53-tys-przebiegu-stan-unikatowy-wersja-titanium-martwe-pola-ID6GDCZm.html
Ford Focus;2010;3.755555555555555;5.67;-33.8;178;201.23;-11.5;otomoto.pl/osobowe/oferta/ford-focus-fajne-rodzinne-combi-ID6GBELd.html
Ford Focus;2010;3.7333333333333334;5.67;-34.2;189;201.23;-6.1;otomoto.pl/osobowe/oferta/ford-focus-ID6GzISq.html
Ford Focus;2009;2.4222222222222225;3.68;-34.2;170;188.89;-10.0;otomoto.pl/osobowe/oferta/ford-focus-lift-1-6-16v-benz-autozgwarancjamalekm-podlpg-mamy4egz-hdi-expukr2300-ID6GxmtQ.html
Ford Focus;2008;2.2;3.41;-35.5;172;200.79;-14.3;otomoto.pl/osobowe/oferta/ford-focus-2-0-benzyna-sprowadzony-zadbany-klima-alufelgi-tempomat-ID6GBCyT.html
Ford Focus;2013;3.9555555555555557;6.15;-35.7;144;151.96;-5.2;otomoto.pl/osobowe/oferta/ford-focus-super-stan-ID6GvMwL.html
Ford Focus;2017;7.999777777777778;12.57;-36.4;98;113.52;-13.7;otomoto.pl/osobowe/oferta/ford-focus-2017-r-1-6-benz-polski-salon-bardzo-zadbany-pierwszy-wlasciciel-ID6GklMQ.html
Ford Focus;2010;3.533333333333333;5.67;-37.7;168;201.23;-16.5;otomoto.pl/osobowe/oferta/ford-focus-1-6-benzynka-lift-alu-klimatronic-ladny-ID6GAyE7.html
Ford Focus;2017;7.7555555555555555;12.57;-38.3;105;113.52;-7.5;otomoto.pl/osobowe/oferta/ford-focus-fajna-wersja-dotykowa-nawigacja-alu-pdc-bezwypadkowy-ID6Gp71a.html
Ford Focus;2017;7.7555555555555555;12.57;-38.3;81;113.52;-28.6;otomoto.pl/osobowe/oferta/ford-focus-oryg-przebieg-81-tys-km-bezwypadkowy-polecam-ID6Gs1js.html
Ford Focus;2016;6.444222222222222;10.59;-39.1;123;136.29;-9.8;otomoto.pl/osobowe/oferta/ford-focus-1-0-5-drzwi-2016-hb-klima-super-stan-z-niemiec-ID6GDNkE.html
Ford Focus;2007;1.4444444444444444;2.39;-39.6;189;214.27;-11.8;otomoto.pl/osobowe/oferta/ford-focus-ford-focus-2007-salon-polska-ID6FRsgF.html
Ford Focus;2017;7.553333333333334;12.57;-39.9;94;113.52;-17.2;otomoto.pl/osobowe/oferta/ford-focus-oryginalny-przebieg-serwisowany-nowy-rozrzad-ID6GvQVk.html
Ford Focus;2005;1.3111111111111111;2.22;-40.9;188;219.41;-14.3;otomoto.pl/osobowe/oferta/ford-focus-pierwszy-wtasciciel-ID6GDsxI.html
Ford Focus;2017;7.311111111111111;12.57;-41.8;104;113.52;-8.4;otomoto.pl/osobowe/oferta/ford-focus-klimatronik-2-strefy-bezwypadkowy-fabryczny-lakier-ID6GD6EX.html
Ford Focus;2010;3.2444444444444445;5.67;-42.8;168;201.23;-16.5;otomoto.pl/osobowe/oferta/ford-focus-ID6GujzO.html
Ford Focus;2008;1.8888888888888888;3.41;-44.6;157;200.79;-21.8;otomoto.pl/osobowe/oferta/ford-focus-ford-focus-1-6-100km-ambiente-ID6GnuUg.html
Ford Focus;2017;6.866666666666666;12.57;-45.4;80;113.52;-29.5;otomoto.pl/osobowe/oferta/ford-focus-z-niemiec-nowy-rozrzad-oplacony-niski-przebieg-ID6Gzkje.html
Ford Focus;2016;5.7555555555555555;10.59;-45.7;127;136.29;-6.8;otomoto.pl/osobowe/oferta/ford-focus-piekny-ford-focus-1-0-benzyna-wersja-tytanium-ID6GmFwG.html
